id	title	location	salary	summary
027678cdfd6961e8	[신입/경력]안드로이드 어플리케이션 개발자	휴텍㈜ 성남 분당구		근무경험자 우대 휴텍㈜ 안드로이드 어플리케이션 개발자 모집 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] - 안드로이드 어플리케이션 개발 [근무부서 및 직급/직책] 근무부서: 부설연구소 S/W 개발팀 직급/직책...
f644011d5be3b284	Android 개발자	웍스모바일 성남 분당구		Android 개발자를 모집합니다. # 담당 업무 - NAVER WORKS(한국) & LINE WORKS(일본) Android 앱 개발, 유지보수 # 자격 요건 - Kotlin 또는 Java 기반 Android 앱 개발 3년...
8ed1efaf7b652197	핸즈 개발자(Nodejs, Vuejs, NativeScriptVue, C...	핸즈 성남 수내동		을 연구 개발 하고 있으며, 의료 관광 등 과 결합 하여 글로벌 시장 진출 또한 계획 중입니다. 저희 핸즈 는 의료 정보 시스템 개발에 국한 하지... 앱 개발 가능자 # 경력 사항 : 3년 미만 [ 2. 모바일서비스 개발...
3190803dba63c314	동영상 데이터/비즈 플랫폼 서버 개발자 모집	카카오 4.0 성남 판교역		업무내용 동영상 비즈 플랫폼 개발 동영상 광고 서버 개발 동영상 데이터 수집/분석 지원자격 기본 조건 Java 개발 경력 2년 이상... 있습니다. (단, 신입 개발자 블라인드 채용 전형 합격자의 경우는 개발 경력...
5c584f0e80a5553b	웹 개발자	Nexon 성남 분당구		및 백오피스 개발 - 서비스 간 연동을 위한 API 개발 - 신규 게임... 개발 가능 - 웹서비스나 Web API 개발 가능 (SOAP, WCF, RESTful API 등) - Javascript를 이용한 클라이언트 개발...
1e1b71e0541ea4a6	Windows Application 개발자	NHN 4.4 성남 판교역		SDK 개발 - TOAST Windows SDK 개발 - Dooray... windows 개발 - Dooray Drive for windows 개발 - C++ 기반의 Windows Application 개발 경력 2년...
eaee1538d8cc832f	메시지발송 플랫폼 개발자	Nexon 성남 분당구		습니다. 지원자격 - C# 개발 가능하면서 python 개발 경험 소유자(또는 Python 개발 가능하면서 C# 개발 경험 소유자) - 대량 메시... 시스템 자동화 개발 경력 우대 - 개발 프로세스의 이해, 개발 프로젝트...
e7fd181c1bd2d558	[Kakao TV] 동영상 서비스 Frontend 개발자 모집	카카오 4.0 성남 판교역		카오 TV 동영상 웹 플레이어 개발 웹 플레이어 JavaScript SDK 개발 카카오 TV PC, Mobile 웹 서비스 개발 지원자격 [공통... 있습니다. (단, 신입 개발자 블라인드 채용 전형 합격자의 경우는 개발 경력...
dcfe7bac31d8b195	[카카오 클라우드] 카카오 클라우드 콘솔(포탈) 프론트엔드 개발자 모집	카카오 4.0 성남 판교역		라우드 콘솔(포탈) 개발 카카오 클라우드 콘솔(포탈) 프론트엔드 개발 서비스 별 재사용 가능한 템플릿 및 UI 컴포넌트 라이브러리 개발 지원자격... 있습니다. (단, 신입 개발자 블라인드 채용 전형 합격자의 경우는 개발 경력...
a38d00971a5a50e8	카카오톡 안드로이드 클라이언트 개발자 모집	카카오 4.0 성남 판교역		소개 카카오톡 클라이언트를 함께 만드실 개발자를 모집합니다. 카카오톡 클라이언트를 함께 개발하실 개발자분들을 찾고 있습니다. 톡클라이언트팀은 다양... 있습니다. (단, 신입 개발자 블라인드 채용 전형 합격자의 경우는 개발 경력...
64edfbfd65a20197	자율주행로봇 S/W 개발자	㈜퓨처로봇 성남 분당구		인크루트 - 템플릿 6 ㈜퓨처로봇 자율협력주행 S/W 개발자 채용 모집부문 및 자격요건 담당업무 자격요건 인원 자율주행로봇 S/W 개발자 채용 [자격요건] 경력사항: 신입, 경력(연차무관) 학력사항: 학력무관 2명 근무조건...
784482ef0301d5c8	[사내 플랫폼 개발] 프론트엔드 개발자 모집	카카오 4.0 성남 판교역		서비스 등 FE 개발자 환경 개발 및 개선 웹서비스 성능 개선을 위한 도구 및 가이드 제작 등 성능 개선을 위한 전반적인 활동 사내 플랫폼( 개발자... 있습니다. (단, 신입 개발자 블라인드 채용 전형 합격자의 경우는 개발 경력...
3bafdba72ed14ee9	다음 첫화면/뉴스/스포츠/연예/1boon 유저 웹서비스 프론트엔드 개발자...	카카오 4.0 성남 판교역		비스 개발 뉴스, 스포츠, 연예, 자동차 서비스 개발 1boon 서비스 개발 공통 프론트엔드 라이브러리 개발 지원자격 기본 자격 개발 경력 3... 있습니다. (단, 신입 개발자 블라인드 채용 전형 합격자의 경우는 개발 경력...
3ced96e4232d2843	카카오 전문연구요원(전직 및 보충역) 모집	카카오 4.0 성남 판교역		개발 경력 2년 미만일시 추가 역량 검증을 위해 정직원 최종 합격 전, 최대 3개월간 계약직으로 근무할 수 있습니다. (단, 신입 개발자 블라인드 채용 전형 합격자의 경우는 개발 경력 2년미만이라도 정규직으로 입사하게 됩니다...
3b9719a191ef0273	UI마크업 개발자()	NHN SOFT 4.4 성남 판교역		개발 - 유관 경력 3년이상 경력자(타 경력 제외) - HTML, CSS 등 W3C 웹표준 규격에 대한 이해와 사용 능력을 갖춘자 - 웹 접근성 지식을 보유한 자 - 디자이너/웹 개발자와 원활한 커뮤니케이션이 가능한...
8b48e3177a2f2056	[다음메일/카카오메일] 서버, FE 개발자 모집	카카오 4.0 성남 판교역		개발을 하고 있습니다. 초고수가 되고 싶은 열망을 가진 개발자분들을 만나고... 성장을 바라는 개발자, 안정적이고 꾸준하게 시스템을 Devops 하실 개발자 [필수 입력 사항] 자기소개서 첫 줄에 지원분야(서버 개발/FE 개발)를...
e7346aa4ba6c1633	금융 AI 기술 연구 개발자 모집	엔씨소프트 2.7 성남 판교역		기술 연구/ 개발, 상용 서비스 적용을 위한 알고리즘 개발 및 실험 등에... 기술 협업 및 기능 개발 - AI 기반 금융 서비스(B2C)를 위한 기술 발굴 3) 상용 서비스/Demo 적용 알고리즘 개발 및 적용 - 서비스...
99fd59212a367a65	(주)알에프컴의 펌웨어 개발자 직원 찾습니다.	알에프컴 성남 중원구	연봉 40,000,000원 - 50,000,000원	[직무내용] 펌웨어 개발자 : 1명 저희는 열차관련 방송장치 및 통신장비 제조 및 개발을 하는 업체입니다. 방송관련장치 제품 개발에 필요한 소프트웨어를... 비희망 전자·기계·기술·화학·연구 개발>전자·반도체>펌웨어(Firmware...
75de881534648de6	[kt ds] 2021년 경력사월 수시(1차)	케이티디에스 서울 서초구		인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>Android|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|유통...
